dataset,id,name,address,expected_town,variant_1,variant_2,variant_3
shelters,SHELTER_174,五福社區活動中心,彰化縣永靖鄉五福巷99-1號,永靖鄉,彰化縣永靖鄉五福巷99之1號,彰化縣永靖鄉五福巷99-1號,
shelters,SHELTER_175,新莊社區活動中心,彰化縣永靖鄉永社路75-1號,永靖鄉,彰化縣永靖鄉永社路75之1號,彰化縣永靖鄉永社路75-1號,
shelters,SHELTER_177,五汴社區活動中心,彰化縣永靖鄉五汴巷1號,永靖鄉,彰化縣永靖鄉五汴巷1號,,
shelters,SHELTER_178,光雲社區活動中心,彰化縣永靖鄉意善巷78-1號,永靖鄉,彰化縣永靖鄉意善巷78之1號,彰化縣永靖鄉意善巷78-1號,
shelters,SHELTER_179,崙子社區活動中心,彰化縣永靖鄉九分路192-1號,永靖鄉,彰化縣永靖鄉九分路192之1號,彰化縣永靖鄉九分路192-1號,
shelters,SHELTER_181,崙美社區活動中心,彰化縣永靖鄉獨鰲路270巷8-1號,永靖鄉,彰化縣永靖鄉獨鰲路270巷8之1號,彰化縣永靖鄉獨鰲路270巷8-1號,
shelters,SHELTER_182,同安社區活動中心,彰化縣永靖鄉西畔巷11-1號,永靖鄉,彰化縣永靖鄉西畔巷11之1號,彰化縣永靖鄉西畔巷11-1號,
shelters,SHELTER_183,同仁社區活動中心,彰化縣永靖鄉東畔路7-1號,永靖鄉,彰化縣永靖鄉東畔路7之1號,彰化縣永靖鄉東畔路7-1號,
shelters,SHELTER_184,湳墘社區活動中心,彰化縣永靖鄉忠心路13-1號,永靖鄉,彰化縣永靖鄉忠心路13之1號,彰化縣永靖鄉忠心路13-1號,
shelters,SHELTER_186,竹子社區活動中心,彰化縣永靖鄉竹中巷41號,永靖鄉,彰化縣永靖鄉竹中巷41號,,
shelters,SHELTER_194,北鎮社區活動中心,彰化縣田尾鄉平和路二段151號,田尾鄉,彰化縣田尾鄉平和路二段151號,,
shelters,SHELTER_252,埔崙社區活動中心,彰化縣秀水鄉蘇周巷162號,秀水鄉,彰化縣秀水鄉蘇周巷162號,,
shelters,SHELTER_256,曾厝社區活動中心,彰化縣秀水鄉大厝巷66號,秀水鄉,彰化縣秀水鄉大厝巷66號,,
shelters,SHELTER_257,玉陵宮廣場,彰化縣秀水鄉番花路450巷46號,秀水鄉,彰化縣秀水鄉番花路450巷46號,,
shelters,SHELTER_262,馬興社區活動中心,彰化縣秀水鄉西銘巷6-1號,秀水鄉,彰化縣秀水鄉西銘巷6之1號,彰化縣秀水鄉西銘巷6-1號,
shelters,SHELTER_272,橋頭國小,彰化縣社頭鄉員集路三段528號,社頭鄉,彰化縣社頭鄉員集路三段528號,,
shelters,SHELTER_279,路上國小,彰化縣芳苑鄉新上路12號,芳苑鄉,彰化縣芳苑鄉新上路12號,,
shelters,SHELTER_313,街尾里活動中心,彰化縣鹿港鎮力行街45號,鹿港鎮,彰化縣鹿港鎮力行街45號,,
shelters,SHELTER_328,曉陽國小,彰化縣線西鄉頂犁路158-1號,線西鄉,彰化縣線西鄉頂犁路158之1號,彰化縣線西鄉頂犁路158-1號,
shelters,SHELTER_330,田中國小,彰化縣田中鎮中州路177號,田中鎮,彰化縣田中鎮中州路177號,,
shelters,SHELTER_331,三潭國小,彰化縣田中鎮中正路715號,田中鎮,彰化縣田中鎮中正路715號,,
shelters,SHELTER_336,明禮國小藝能館,彰化縣田中鎮民光路一段394號,田中鎮,彰化縣田中鎮民光路一段394號,,
shelters,SHELTER_340,新庄社區活動中心,彰化縣田中鎮中山街134號,田中鎮,彰化縣田中鎮中山街134號,,
shelters,SHELTER_342,田中鎮民活動中心,彰化縣田中鎮斗中路一段210號,田中鎮,彰化縣田中鎮斗中路一段210號,,
shelters,SHELTER_343,田中鎮立圖書館,彰化縣田中鎮中新路229號,田中鎮,彰化縣田中鎮中新路229號,,
shelters,SHELTER_360,大庭社區活動中心,彰化縣溪湖鎮崙子腳路34-1號,溪湖鎮,彰化縣溪湖鎮崙子腳路34之1號,彰化縣溪湖鎮崙子腳路34-1號,
shelters,SHELTER_363,河東社區活動中心,彰化縣溪湖鎮河東路281號,溪湖鎮,彰化縣溪湖鎮河東路281號,,
shelters,SHELTER_365,湖東國小,彰化縣溪湖鎮大溪路二段423號,溪湖鎮,彰化縣溪湖鎮大溪路二段423號,,
shelters,SHELTER_392,新興社區活動中心,彰化縣大村鄉新興巷6-3號,大村鄉,彰化縣大村鄉新興巷6之3號,彰化縣大村鄉新興巷6-3號,
shelters,SHELTER_400,過溝社區活動中心,彰化縣大村鄉過溝三巷36-2號,大村鄉,彰化縣大村鄉過溝三巷36之2號,彰化縣大村鄉過溝三巷36-2號,
relief,RELIEF_045,大嘉國小,彰化縣和美鎮彰和路三段50號,和美鎮,彰化縣和美鎮彰和路三段50號,,
relief,RELIEF_048,和美鎮立圖書館,彰化縣和美鎮道周路346號,和美鎮,彰化縣和美鎮道周路346號,,
relief,RELIEF_058,塭仔社區,彰化縣線西鄉沿海路一段495巷17號,線西鄉,彰化縣線西鄉沿海路一段495巷17號,,
relief,RELIEF_140,明湖國小,彰化縣員林市湖水路277號,員林市,彰化縣員林市湖水路277號,,
relief,RELIEF_147,湖東國小,彰化縣溪湖鎮湖東里大溪路二段423號,溪湖鎮,彰化縣溪湖鎮湖東里大溪路二段423號,彰化縣溪湖鎮大溪路二段423號,
relief,RELIEF_157,田中國小,彰化縣田中鎮中州路一段177號,田中鎮,彰化縣田中鎮中州路一段177號,,
relief,RELIEF_162,田中高中學校,彰化縣田中鎮文化街23號,田中鎮,彰化縣田中鎮文化街23號,,
relief,RELIEF_165,田中鎮立圖書館,彰化縣田中鎮中路里中新路229號,田中鎮,彰化縣田中鎮中路里中新路229號,彰化縣田中鎮中新路229號,
relief,RELIEF_168,新庄社區,彰化縣田中鎮新庄里中山街134號,田中鎮,彰化縣田中鎮新庄里中山街134號,彰化縣田中鎮中山街134號,
relief,RELIEF_177,大葉大學,彰化縣大村鄉學府路169號,大村鄉,彰化縣大村鄉學府路169號,,
relief,RELIEF_206,德興國小,彰化縣永靖鄉竹子村竹後巷47號,永靖鄉,彰化縣永靖鄉竹子村竹後巷47號,彰化縣永靖鄉竹後巷47號,
relief,RELIEF_212,橋頭國小,彰化縣社頭鄉橋頭村員集路三段528號,社頭鄉,彰化縣社頭鄉橋頭村員集路三段528號,彰化縣社頭鄉員集路三段528號,
relief,RELIEF_225,北斗郵局,彰化縣北斗鎮光復里光復路226號地上4地下,北斗鎮,彰化縣北斗鎮光復里光復路226號,彰化縣北斗鎮光復路226號,
relief,RELIEF_232,北斗家商學校,彰化縣北斗鎮大道里文苑路17號地上7地下,北斗鎮,彰化縣北斗鎮大道里文苑路17號,彰化縣北斗鎮文苑路17號,
relief,RELIEF_283,中華電信住宿休閒會館中華電信,彰化縣埤頭鄉合興村斗苑西路32號B,埤頭鄉,彰化縣埤頭鄉合興村斗苑西路32號,彰化縣埤頭鄉斗苑西路32號,
relief,RELIEF_288,元埔社區,彰化縣埤頭鄉元埔村文化路495巷11號,埤頭鄉,彰化縣埤頭鄉元埔村文化路495巷11號,彰化縣埤頭鄉文化路495巷11號,
relief,RELIEF_301,民權華德福國中(小),彰化縣芳苑鄉五俊村新生巷5-1號,芳苑鄉,彰化縣芳苑鄉五俊村新生巷5之1號,彰化縣芳苑鄉新生巷5之1號,彰化縣芳苑鄉五俊村新生巷5-1號
relief,RELIEF_308,中華電信公司大城服務處住宿休閒會館中華電信公司大城服務處,彰化縣大城鄉東城村南平路74號,大城鄉,彰化縣大城鄉東城村南平路74號,彰化縣大城鄉南平路74號,
care,CARE_006,復興社區發展協會,彰化縣彰化市復興里竹和路176-1號,彰化市,彰化縣彰化市復興里竹和路176之1號,彰化縣彰化市竹和路176之1號,彰化縣彰化市復興里竹和路176-1號
care,CARE_009,福田社區發展協會,彰化縣彰化市福田里福田一路51巷124號,彰化市,彰化縣彰化市福田里福田一路51巷124號,彰化縣彰化市福田一路51巷124號,
care,CARE_012,向陽社區發展協會,彰化縣彰化市向陽里中央路132號,彰化市,彰化縣彰化市向陽里中央路132號,彰化縣彰化市中央路132號,
care,CARE_015,光復社區發展協會,彰化縣彰化市民生路279之3號,彰化市,彰化縣彰化市民生路279之3號,彰化縣彰化市民生路279-3號,
care,CARE_017,社團法人彰化縣益康關懷協會,彰化縣彰化市金馬路三段539巷26弄6號,彰化市,彰化縣彰化市金馬路三段539巷26弄6號,,
care,CARE_020,尚無關懷長青協會,彰化縣彰化市三民路279巷15之5號,彰化市,彰化縣彰化市三民路279巷15之5號,彰化縣彰化市三民路279巷15-5號,
care,CARE_029,南瑤社區發展協會,彰化縣彰化市中正路二段675巷33號,彰化市,彰化縣彰化市中正路二段675巷33號,,
care,CARE_033,永芳社區發展協會,彰化縣彰化市永芳路468號,彰化市,彰化縣彰化市永芳路468號,,
care,CARE_040,廟埕大竹社區發展協會,彰化縣彰化市竹中路4號,彰化市,彰化縣彰化市竹中路4號,,
care,CARE_064,惠來社區發展協會,彰化縣秀水鄉民生街三聖巷15號,秀水鄉,彰化縣秀水鄉民生街三聖巷15號,,
care,CARE_081,田洋社區發展協會,彰化縣大村鄉田洋村田洋巷11-2號,大村鄉,彰化縣大村鄉田洋村田洋巷11之2號,彰化縣大村鄉田洋巷11之2號,彰化縣大村鄉田洋村田洋巷11-2號
care,CARE_086,新興社區發展協會,彰化縣大村鄉新興村新興巷6-3號,大村鄉,彰化縣大村鄉新興村新興巷6之3號,彰化縣大村鄉新興巷6之3號,彰化縣大村鄉新興村新興巷6-3號
care,CARE_092,山崙社區發展協會,彰化縣鹿港鎮山崙里山崙巷52號,鹿港鎮,彰化縣鹿港鎮山崙里山崙巷52號,彰化縣鹿港鎮山崙巷52號,
care,CARE_094,景福社區發展協會,彰化縣鹿港鎮景福里萬壽路244號,鹿港鎮,彰化縣鹿港鎮景福里萬壽路244號,彰化縣鹿港鎮萬壽路244號,
care,CARE_095,廟埕東昇社區發展協會,彰化縣鹿港鎮東崎里打鐵巷9號,鹿港鎮,彰化縣鹿港鎮東崎里打鐵巷9號,彰化縣鹿港鎮打鐵巷9號,
care,CARE_116,鐵山社區發展協會,彰化縣和美鎮鐵山里鎮東路190號,和美鎮,彰化縣和美鎮鐵山里鎮東路190號,彰化縣和美鎮鎮東路190號,
care,CARE_156,後寮社區發展協會,彰化縣芳苑鄉後寮村4鄰寮北巷5號,芳苑鄉,彰化縣芳苑鄉後寮村寮北巷5號,彰化縣芳苑鄉寮北巷5號,
care,CARE_171,廟前廣場信義社區發展協會,彰化縣芳苑鄉信義村芳新路76號,芳苑鄉,彰化縣芳苑鄉信義村芳新路76號,彰化縣芳苑鄉芳新路76號,
care,CARE_177,台灣弱勢族群就業促進協會-大城東城村,彰化縣大城鄉東城村大安路40-1號,大城鄉,彰化縣大城鄉東城村大安路40之1號,彰化縣大城鄉大安路40之1號,彰化縣大城鄉東城村大安路40-1號
care,CARE_177b,彰化縣樂城社會福利協會-公館村,彰化縣大城鄉公館村廟口路1號,大城鄉,彰化縣大城鄉公館村廟口路1號,彰化縣大城鄉廟口路1號,
care,CARE_203,大饒社區發展協會,彰化縣員林市大饒里員集路二段244巷119號,員林市,彰化縣員林市大饒里員集路二段244巷119號,彰化縣員林市員集路二段244巷119號,
care,CARE_212,大峰社區發展協會,彰化縣員林市大峰里大峰巷326弄1號,員林市,彰化縣員林市大峰里大峰巷326弄1號,彰化縣員林市大峰巷326弄1號,
care,CARE_213,出水社區發展協會,彰化縣員林市出水里（巷）18-1號,員林市,彰化縣員林市出水里18之1號,彰化縣員林市出水里18-1號,
care,CARE_214,浮圳社區發展協會,彰化縣員林市浮圳巷8-15號,員林市,彰化縣員林市浮圳巷8之15號,彰化縣員林市浮圳巷8-15號,
care,CARE_216,教會社團法人彰化縣彰化中會關懷協會和平教會,彰化縣員林市新興里和平街15-1號,員林市,彰化縣員林市新興里和平街15之1號,彰化縣員林市和平街15之1號,彰化縣員林市新興里和平街15-1號
care,CARE_228,(租賃)社頭社區發展協會,彰化縣社頭鄉社頭村員集路二段372號,社頭鄉,彰化縣社頭鄉社頭村員集路二段372號,彰化縣社頭鄉員集路二段372號,
care,CARE_229,租善德禪寺彰化縣山腳文化慈愛關懷協會,彰化縣社頭鄉泰安村石坑二巷14號,社頭鄉,彰化縣社頭鄉泰安村石坑二巷14號,彰化縣社頭鄉石坑二巷14號,
care,CARE_238,五汴社區發展協會,彰化縣永靖鄉五汴村五汴巷1號,永靖鄉,彰化縣永靖鄉五汴村五汴巷1號,彰化縣永靖鄉五汴巷1號,
care,CARE_251,西寮社區發展協會,彰化縣溪湖鎮員鹿路4段269-1號,溪湖鎮,彰化縣溪湖鎮員鹿路4段269之1號,彰化縣溪湖鎮員鹿路4段269-1號,
care,CARE_258,中竹社區發展協會,彰化縣溪湖鎮竹福路181號,溪湖鎮,彰化縣溪湖鎮竹福路181號,,
care,CARE_259,彰化縣溪湖鎮藝文館後棟研習教室光華社區發展協會,彰化縣溪湖鎮員鹿路三段245號,溪湖鎮,彰化縣溪湖鎮員鹿路三段245號,,
care,CARE_261,是河東社區發展協會,彰化縣溪湖鎮河東里河東路281號,溪湖鎮,彰化縣溪湖鎮河東里河東路281號,彰化縣溪湖鎮河東路281號,
care,CARE_278,縣府公有土地建築物文昌社區發展協會,彰化縣北斗鎮文昌里復興路300號,北斗鎮,彰化縣北斗鎮文昌里復興路300號,彰化縣北斗鎮復興路300號,
care,CARE_293,陸嘉社區發展協會,彰化縣埤頭鄉陸嘉村中華路434號,埤頭鄉,彰化縣埤頭鄉陸嘉村中華路434號,彰化縣埤頭鄉中華路434號,
care,CARE_295,廟埕大庄社區發展協會,彰化縣溪州鄉大庄村東橫巷2-1號,溪州鄉,彰化縣溪州鄉大庄村東橫巷2之1號,彰化縣溪州鄉東橫巷2之1號,彰化縣溪州鄉大庄村東橫巷2-1號
care,CARE_297,之活動中心三圳社區發展協會,彰化縣溪州鄉三圳村庄內巷42號,溪州鄉,彰化縣溪州鄉三圳村庄內巷42號,彰化縣溪州鄉庄內巷42號,
care,CARE_299,榮光社區發展協會,彰化縣溪州鄉榮光村政民路27-2號,溪州鄉,彰化縣溪州鄉榮光村政民路27之2號,彰化縣溪州鄉政民路27之2號,彰化縣溪州鄉榮光村政民路27-2號
care,CARE_313,溪墘社區發展協會,彰化縣竹塘鄉彰175鄉道21號,竹塘鄉,彰化縣竹塘鄉彰175鄉道21號,,
care,CARE_316,西庄社區發展協會,彰化縣二林鎮同安巷80-1號,二林鎮,彰化縣二林鎮同安巷80之1號,彰化縣二林鎮同安巷80-1號,
care,CARE_320,教會內財團法人天主教會台中教區（二林天主堂）,彰化縣二林鎮東和里中山路2號,二林鎮,彰化縣二林鎮東和里中山路2號,彰化縣二林鎮中山路2號,
care,CARE_324,東興社區發展協會,彰化縣二林鎮福建巷45-1號,二林鎮,彰化縣二林鎮福建巷45之1號,彰化縣二林鎮福建巷45-1號,
care,CARE_325,復豐社區發展協會,彰化縣二林鎮復豐里𥕟磘巷17號,二林鎮,彰化縣二林鎮復豐里𥕟磘巷17號,彰化縣二林鎮𥕟磘巷17號,
care,CARE_329,頂潭社區發展協會,彰化縣田中鎮頂潭里崁頂路143號,田中鎮,彰化縣田中鎮頂潭里崁頂路143號,彰化縣田中鎮崁頂路143號,
care,CARE_330,新民社區發展協會,彰化縣田中鎮新民里公館路258號,田中鎮,彰化縣田中鎮新民里公館路258號,彰化縣田中鎮公館路258號,
care,CARE_333,大崙社區發展協會,彰化縣田中鎮大崙里大安路二段320號,田中鎮,彰化縣田中鎮大崙里大安路二段320號,彰化縣田中鎮大安路二段320號,
care,CARE_334,財團法人中華民國佛教慈濟慈善事業基金會-,彰化縣田中鎮員集路一段854號,田中鎮,彰化縣田中鎮員集路一段854號,,
care,CARE_338,中潭社區發展協會,彰化縣田中鎮中潭里員集路三段125巷255號,田中鎮,彰化縣田中鎮中潭里員集路三段125巷255號,彰化縣田中鎮員集路三段125巷255號,
care,CARE_346,會址內財團法人切膚之愛社會福利慈善事業基金會,彰化縣田中鎮復興路788號,田中鎮,彰化縣田中鎮復興路788號,,
care,CARE_351,北鎮社區發展協會,彰化縣田尾鄉北鎮村平和路二段151號,田尾鄉,彰化縣田尾鄉北鎮村平和路二段151號,彰化縣田尾鄉平和路二段151號,
care,CARE_367,合和社區發展協會,彰化縣二水鄉合和村番田二巷17號,二水鄉,彰化縣二水鄉合和村番田二巷17號,彰化縣二水鄉番田二巷17號,
care,CARE_369,源泉社區發展協會,彰化縣二水鄉月眉巷1-1號,二水鄉,彰化縣二水鄉月眉巷1之1號,彰化縣二水鄉月眉巷1-1號,
care,CARE_373,惠民社區發展協會,彰化縣二水鄉惠民村山腳路一段223巷42弄32-1號,二水鄉,彰化縣二水鄉惠民村山腳路一段223巷42弄32之1號,彰化縣二水鄉山腳路一段223巷42弄32之1號,彰化縣二水鄉惠民村山腳路一段223巷42弄32-1號
assoc,CASSOC_006,塭仔社區發展協會,彰化縣線西鄉塭仔村塭仔路141號,線西鄉,彰化縣線西鄉塭仔村塭仔路141號,彰化縣線西鄉塭仔路141號,
assoc,CASSOC_009,福興社區發展協會,彰化縣福興鄉福興村50-1號,福興鄉,彰化縣福興鄉福興村50之1號,彰化縣福興鄉福興村50-1號,
assoc,CASSOC_016,同安社區發展協會,彰化縣福興鄉福興鄉同安村33-7號,福興鄉,彰化縣福興鄉同安村33之7號,彰化縣福興鄉同安村33-7號,
assoc,CASSOC_022,元中社區發展協會,彰化縣福興鄉橫圳巷10-18號,福興鄉,彰化縣福興鄉橫圳巷10之18號,彰化縣福興鄉橫圳巷10-18號,
assoc,CASSOC_023,外中社區發展協會,彰化縣福興鄉外中村外中街50號,福興鄉,彰化縣福興鄉外中村外中街50號,彰化縣福興鄉外中街50號,
assoc,CASSOC_039,茄苳社區發展協會,彰化縣彰化市茄苳里茄苳莊45-10號,彰化市,彰化縣彰化市茄苳里茄苳莊45之10號,彰化縣彰化市茄苳里茄苳莊45-10號,
assoc,CASSOC_042,大竹社區發展協會,彰化縣彰化市大竹里40-1號,彰化市,彰化縣彰化市大竹里40之1號,彰化縣彰化市大竹里40-1號,
assoc,CASSOC_051,阿夷社區發展協會,彰化縣彰化市阿夷里泰和路2段211之1號,彰化市,彰化縣彰化市阿夷里泰和路2段211之1號,彰化縣彰化市泰和路2段211之1號,彰化縣彰化市阿夷里泰和路2段211-1號
assoc,CASSOC_052,復興社區發展協會,彰化縣彰化市彰化市竹和路176-1號,彰化市,彰化縣彰化市竹和路176之1號,彰化縣彰化市竹和路176-1號,
assoc,CASSOC_055,卦山社區發展協會,彰化縣彰化市彰化市旭光路39號3樓,彰化市,彰化縣彰化市旭光路39號,,
assoc,CASSOC_064,光復社區發展協會,彰化縣彰化市民生路281-5號,彰化市,彰化縣彰化市民生路281之5號,彰化縣彰化市民生路281-5號,
assoc,CASSOC_067,信義社區發展協會,彰化縣彰化市民生路279-3號,彰化市,彰化縣彰化市民生路279之3號,彰化縣彰化市民生路279-3號,
assoc,CASSOC_075,永興社區發展協會,彰化縣彰化市磚瑤里彰南路443巷44弄15號,彰化市,彰化縣彰化市磚瑤里彰南路443巷44弄15號,彰化縣彰化市彰南路443巷44弄15號,
assoc,CASSOC_076,永芳社區發展協會,彰化縣彰化市東芳里永芳路468號,彰化市,彰化縣彰化市東芳里永芳路468號,彰化縣彰化市永芳路468號,
assoc,CASSOC_086,崙平社區發展協會,彰化縣彰化市平和里38號之1,彰化市,彰化縣彰化市平和里38號之1,彰化縣彰化市平和里38號-1,
assoc,CASSOC_129,田中社區發展協會,彰化縣溪湖鎮田中里田中巷216號,溪湖鎮,彰化縣溪湖鎮田中里田中巷216號,彰化縣溪湖鎮田中巷216號,
assoc,CASSOC_132,三條社區發展協會,彰化縣溪州鄉三條村九甲一巷4號,溪州鄉,彰化縣溪州鄉三條村九甲一巷4號,彰化縣溪州鄉九甲一巷4號,
assoc,CASSOC_151,草中社區發展協會,彰化縣鹿港鎮草中里(巷)174號,鹿港鎮,彰化縣鹿港鎮草中里174號,,
assoc,CASSOC_164,東昇社區發展協會,彰化縣鹿港鎮東崎里打鐵厝(巷)9號,鹿港鎮,彰化縣鹿港鎮東崎里打鐵厝9號,,
assoc,CASSOC_184,平原社區發展協會,彰化縣埤頭鄉平原村平原路171號,埤頭鄉,彰化縣埤頭鄉平原村平原路171號,彰化縣埤頭鄉平原路171號,
assoc,CASSOC_218,太平社區發展協會,彰化縣埔心鄉太平村太平路170號,埔心鄉,彰化縣埔心鄉太平村太平路170號,彰化縣埔心鄉太平路170號,
assoc,CASSOC_219,經口社區發展協會,彰化縣埔心鄉經口村明道路36號,埔心鄉,彰化縣埔心鄉經口村明道路36號,彰化縣埔心鄉明道路36號,
assoc,CASSOC_240,崙雅社區發展協會,彰化縣員林市崙雅里崙雅巷一段449巷47號,員林市,彰化縣員林市崙雅里崙雅巷一段449巷47號,彰化縣員林市崙雅巷一段449巷47號,
assoc,CASSOC_242,大峰社區發展協會,彰化縣員林市員林市大峰里大峰巷326弄1號,員林市,彰化縣員林市大峰里大峰巷326弄1號,彰化縣員林市大峰巷326弄1號,
assoc,CASSOC_253,湖水社區發展協會,彰化縣員林市湖水里湖水巷26號之10,員林市,彰化縣員林市湖水里湖水巷26號之10,彰化縣員林市湖水巷26號之10,彰化縣員林市湖水里湖水巷26號-10
assoc,CASSOC_283,舊社社區發展協會,彰化縣芬園鄉舊社村彰南路五段2巷20號,芬園鄉,彰化縣芬園鄉舊社村彰南路五段2巷20號,彰化縣芬園鄉彰南路五段2巷20號,
assoc,CASSOC_286,寶山社區發展協會,彰化縣芬園鄉圳墘村碧園路二段305之1號,芬園鄉,彰化縣芬園鄉圳墘村碧園路二段305之1號,彰化縣芬園鄉碧園路二段305之1號,彰化縣芬園鄉圳墘村碧園路二段305-1號
assoc,CASSOC_300,長沙社區發展協會,彰化縣花壇鄉長沙村彰員路2段586-3號,花壇鄉,彰化縣花壇鄉長沙村彰員路2段586之3號,彰化縣花壇鄉彰員路2段586之3號,彰化縣花壇鄉長沙村彰員路2段586-3號
assoc,CASSOC_309,新寶社區發展協會,彰化縣芳苑鄉新寶村芳漢路新寶段108-91號,芳苑鄉,彰化縣芳苑鄉新寶村芳漢路新寶段108之91號,彰化縣芳苑鄉芳漢路新寶段108之91號,彰化縣芳苑鄉新寶村芳漢路新寶段108-91號
assoc,CASSOC_311,建平社區發展協會,彰化縣芳苑鄉建平村建平段405號,芳苑鄉,彰化縣芳苑鄉建平村建平段405號,,
assoc,CASSOC_319,新生社區發展協會,彰化縣芳苑鄉新生村草崙路15之1號,芳苑鄉,彰化縣芳苑鄉新生村草崙路15之1號,彰化縣芳苑鄉草崙路15之1號,彰化縣芳苑鄉新生村草崙路15-1號
assoc,CASSOC_324,後寮社區發展協會,彰化縣芳苑鄉芳苑鄉後寮村寮北巷5號,芳苑鄉,彰化縣芳苑鄉後寮村寮北巷5號,彰化縣芳苑鄉寮北巷5號,
assoc,CASSOC_332,廣興社區發展協會,彰化縣社頭鄉廣興村廣興巷13號,社頭鄉,彰化縣社頭鄉廣興村廣興巷13號,彰化縣社頭鄉廣興巷13號,
assoc,CASSOC_340,泰安社區發展協會,彰化縣社頭鄉社頭鄉仁和村山腳路2段833號,社頭鄉,彰化縣社頭鄉仁和村山腳路2段833號,彰化縣社頭鄉山腳路2段833號,
assoc,CASSOC_346,湳底社區發展協會,彰化縣社頭鄉湳底村湳底巷261號,社頭鄉,彰化縣社頭鄉湳底村湳底巷261號,彰化縣社頭鄉湳底巷261號,
assoc,CASSOC_351,美雅社區發展協會,彰化縣社頭鄉美雅村員集路一段710號,社頭鄉,彰化縣社頭鄉美雅村員集路一段710號,彰化縣社頭鄉員集路一段710號,
assoc,CASSOC_370,頭前社區發展協會,彰化縣和美鎮頭前里和頭路595號,和美鎮,彰化縣和美鎮頭前里和頭路595號,彰化縣和美鎮和頭路595號,
assoc,CASSOC_390,金興社區發展協會,彰化縣秀水鄉秀水鄉金興村正興巷18-16號,秀水鄉,彰化縣秀水鄉金興村正興巷18之16號,彰化縣秀水鄉正興巷18之16號,彰化縣秀水鄉金興村正興巷18-16號
assoc,CASSOC_406,定興社區發展協會,彰化縣伸港鄉定興村定興路63號,伸港鄉,彰化縣伸港鄉定興村定興路63號,彰化縣伸港鄉定興路63號,
